bezeichnung,synonyme,definition,quelle,begriffsklasse,rgfeld,wikipedia,snik,hito,dbpedia,,
Key-User,,"Der Begriff Key-User wird im Zuge der Softwareeinführung (z. B. ERP-Systeme) bzw. im IT-Support genutzt. Der Key-User selbst ist ein Mitarbeiter des Unternehmens, welches die Software einführt und ggf. im Anschluss fachlich betreut.
 Der Key-User ist jener Anwender, der sich in seinem Bereich auf die dort eingesetzte Software bzw. entsprechende Software-Module spezialisiert. Ein Key-User unterstützt den Ausbau und die Integrationstiefe und vertritt die fachlichen Interessen des Fachbereiches im Projektteam. Er fungiert zudem als Ansprechpartner für die Kollegen in der eigenen Abteilung, den Software-Anbieter und die Projektleiter. Ein Key-User kann eigenverantwortlich erforderliche Schulungen für seine Kollegen durchführen.",Wikipedia,,,https://de.wikipedia.org/wiki/Key-User,,,,,
Kosten-Nutzen-Analyse,,"Kosten-Nutzen-Analysen sind eine Form der Wirtschaftlichkeitsuntersuchung. Kosten-Nutzen-Analysen werden in zahlreichen Bereichen der öffentlichen Daseinsvorsorge zur Entscheidungsunterstützung eingesetzt. So verpflichtet in Deutschland etwa § 7 Bundeshaushaltsordnung die öffentlichen Körperschaften dazu, vor einer Ausgabe eine Wirtschaftlichkeitsuntersuchung durchzuführen.",Wikipedia,,,https://de.wikipedia.org/wiki/Kosten-Nutzen-Analyse,,,,,
Medizinischer Fall,,Der gesamte Verlauf der Krankheit eines Patienten und deren Behandlung.,,,,,,,,,
Nutzen,,"Die Betriebswirtschaftslehre untersucht den Nutzen insbesondere mit Hilfe der Kosten-Nutzen-Analyse und zudem die Ausprägungen funktionaler (Basisfunktion), ökonomischer (Effizienz), prozessbezogener (Handhabung), emotionaler (des Nutzers) und sozialer (im sozialen Umfeld) Nutzen.",Wikipedia,,,https://de.wikipedia.org/wiki/Nutzen,,,,,
Nutzenarten,,"- Kosten-Nutzen-Analyse & Effizienz --> G = Kosteneinsparung, Mehreinnahmen, Gewinnsteigerung
  - funktionaler, ökonomischer, prozessbezogener Nutzen --> Z = Zeiteinsparung, höhere Produktivität
  - sozialer Nutzen --> S = Absicherung von Risiken für das KH (z.B. höhere Patientensicherheit, bessere Versorgung, etc.
  - emotionaler Nutzen --> P = Jobsicherheit, Stressreduktion, Imagegewinn, Ideale",Uwe Buddrus nach Klaus Amann,,,,,,,,
Patientensicherheit,,Der Begriff der Patientensicherheit umschreibt das erfolgreiche Bemühen um eine fehler- und schadensfreie ärztliche Behandlung und medizinische Gesundheitsversorgung als Resultat aller Maßnahmen zur Bewahrung von Patienten vor vermeidbaren Schäden in Zusammenhang mit der Heilbehandlung. Die Patientensicherheit ist ein wichtiger Bestandteil der Qualitätssicherung in der Medizin.,Wikipedia,,,https://de.wikipedia.org/wiki/Patientensicherheit,,,,,
Patientenversorgung,,"Die Patientenversorgung gehört zu den wichtigsten Aufgaben des ärztlichen Berufsstandes und des Pflegepersonals. Sie umfasst auf ärztlicher Seite die Begrüßung eines Patienten, die Erhebung der Krankengeschichte (Anamnese) und des körperlichen Untersuchungsbefundes, die Erhebung weiterer Befunde mittels technischer oder laborchemischer Verfahren und die Information des Patienten hierüber, die Festlegung der Diagnose, die Planung, Erklärung und Durchführung einer Therapie und den Aufbau sowie die Aufrechterhaltung eines Vertrauensverhältnisses zwischen Arzt und Patient. Der Begriff wird insbesondere zur Abgrenzung gegenüber anderen Aufgaben des Arztes (Verwaltung, Management, Dokumentation, Fortbildung, Forschung) verwendet.
 Auf Seiten des Pflegepersonals umfasst sie alle Bereiche der Krankenpflege.",Wikipedia,,,https://de.wikipedia.org/wiki/Patientenversorgung,,,,,
Risikomanagement,,"Risikomanagement ist nach der Norm ISO 31000: 2009 eine Führungsaufgabe, im Rahmen derer die Risiken einer Organisation identifiziert, analysiert und bewertet werden. Hierzu sind übergeordnete Ziele, Strategien und Politik der Organisation für das Risikomanagement festzulegen.",Wikipedia,,,https://de.wikipedia.org/wiki/Risikomanagement,,,,,
Telemedizin,,"Die Telemedizin ist ein Teilbereich der Telematik im Gesundheitswesen und bezeichnet Diagnostik und Therapie unter Überbrückung einer räumlichen oder auch zeitlichen („asynchron“) Distanz zwischen Arzt (Telearzt), Therapeut (Teletherapeut), Apotheker und Patienten oder zwischen zwei sich konsultierenden Ärzten mittels Telekommunikation.",Wikipedia,,,https://de.wikipedia.org/wiki/Telemedizin,,,,,
Unified Communications,,"Unified Communications (UC) (englisch für „vereinheitlichte Kommunikation“), oft auch Real-Time Communication (RTC) (englisch für „Echtzeitkommunikation“) genannt, beschreibt die Integration von Kommunikationsmedien in einer einheitlichen Anwendungsumgebung. Durch eine Zusammenführung aller Kommunikationsdienste und die Integration mit Präsenzfunktionen, wie sie aus Instant Messengern bekannt sind, wird die Erreichbarkeit von Kommunikationspartnern in verteilter Arbeit verbessert und so geschäftliche Prozesse beschleunigt.",Wikipedia,,,https://de.wikipedia.org/wiki/Unified_Communications,,,,,
Unternehmensanwendungsintegration (UAI),,"Unternehmensanwendungsintegration (UAI) oder Enterprise Application Integration (EAI) ist ein Konzept zur unternehmensweiten Integration der Geschäftsfunktionen entlang der Wertschöpfungskette, die über verschiedene Applikationen auf unterschiedlichen Plattformen verteilt sind und die im Sinne der Daten- und Geschäftsprozessintegration verbunden werden können. Das Ziel ist die integrierte Geschäftsabwicklung durch ein Netzwerk unternehmensinterner Applikationen verschiedener Generationen und Architekturen.",Wikipedia,,,https://de.wikipedia.org/wiki/Enterprise_Application_Integration,,,,,
Versorgungsqualität,,"Kerndimensionen der Versorgungsqualität sind: Effektivität, Sicherheit, Patientenorientierung; weitere Dimensionen sind: Zugang zur Versorgung, Angemessenheit, Rechtzeitigkeit, Mitarbeiterorientierung und Vergütung. 
 Die Optimierung der Versorungungsqualität / Qualität der medizinischen Leistung umfasst Effektivität, Sicherheit, Patientenorientierung, Zugang zur Versorgung, Angemessenheit, Rechtzeitigkeit, Mitarbeiterorientierung und Vergütung. Somit beinhaltet die Optimierung der Versorungungsqualität auch eine Verbesserung der Patientensicherheit (Sicherheit) und der Patientenversorgung (Effektivität, Patientenorientierung, Zugang, Angemessenheit, Rechtzeitigkeit).","Uwe Buddrus nach Karen Pottkämper, AQUA – Institut für angewandte Qualitätsförderung und Forschung im Gesundheitswesen, Göttingen, https://www.gkv-spitzenverband.de/media/dokumente/pflegeversicherung/qualitaet_in_der_pflege/fachtagung_pflegenoten_11_09_2012/2012-09-11_C_Vortrag_Pottkaemper.pdf",,,,,,,,
Rollenbasierte Zugriffskontrolle (RBAC),,"Role Based Access Control (RBAC; deutsch: Rollenbasierte Zugriffskontrolle) ist in Mehrbenutzersystemen oder Rechnernetzen ein Verfahren sowie ein Entwurfsmuster zur Zugriffssteuerung und -kontrolle auf Dateien oder Dienste. ... Die alternative Methode, einem realen Benutzer (User) direkt Rechte und Zugriffe auf verschiedene Systeme zu geben, stellt sich durch die steigende Zahl von Benutzern als unübersichtlich und daher fehlerträchtig dar. Das auf Benutzerrollen basierende Konzept soll nun die Rechte anhand von Arbeitsprozessen abstrahieren.",Wikipedia,,,https://de.wikipedia.org/wiki/Role_Based_Access_Control,,,,,
IT-Sicherheit mobiler Endgeräte,,"Zu den Maßnahmen zur Gewährleistung der IT-Sicherheit auf mobilen Endgeräten gehören sowohl technische Vorkehrungen (Virenschutz- und Firewall-Programme) als auch organisatorische Regelungen (Gerätemanagement, Handlungsanweisungen). Um zu verhindern, das wichtige Daten in falsche Hände geraten, ist zudem eine komplette Verschlüsselung des Datenspeichers sinnvoll. Weiterhin hat sich der Einsatz von starken Authentifizierungsmethoden (Zertifikat, Token) bewährt. Im Unternehmenseinsatz unterstützt zumeist eine zentrale Managementlösung (Mobile Device Management) den IT-Bereich bei der Administration der mobilen Endgeräte, z.B. um die Aktualität der Sicherheitssoftware zu gewährleisten.",SecuPedia,,,,,,,,
Ergebnisqualität,,"Unter der Ergebnisqualität werden die Veränderungen des gegenwärtigen und zukünftigen Gesundheitszustandes des Patienten, die dem vorausgegangenen medizinischen, d. h. ärztlichen, pflegerischen und administrativen Handeln zuschreibbar sind, verstanden. Meist wird die Ergebnisqualität von den Patienten bewertet, Zufriedenheit und Lebensqualität sind dabei wichtige Qualitätsaspekte. Aber auch der Grad der Zielerreichung und Einhaltung von Zielvereinbarungen dienen in vielen Unternehmen als Synonyme für Erfolg. Jedoch können auch Kriterien wie die Zunahme an wahrgenommenen Ressourcen, z. B. besserer Zusammenarbeit nach innen und außen, als Kriterien der Ergebnisqualität dienen.","Wikipedia s. ""Qualitätsmodell nach Donabedian""",,,https://de.wikipedia.org/wiki/Qualitätsmodell_nach_Donabedian,,,,,
Patientenportal,,"Anwendungssystem für das digitale Aufnahme- und Entlassmanagement und digitalen Informationsaustausch zwischen Leistungserbringer und Leistungsempfängern, Pflege- und Rehabilitationseinrichtungen, Kostenträgern",KHZG,Anwendungssystem,,,,,,,
Pflege,,,,Aufgabe,,,,,,,
Behandlung,,,,Aufgabe,,,,,,,
Aufnahmemanagement,,,,Aufgabe,,,,,,,
Entlassmanagement,,,,Aufgabe,,,,,,,
Medikationsmanagement,,,,Aufgabe,,,,,,,
Cloud-Computing System,,,,,,,,,,,
Leistungsanforderung,,,,Aufgabe,,,,,,,
